,Total Return,Ann. Return,Ann. Vol,Sharpe,Sortino,Calmar,Max Drawdown,Win Rate,Avg Turnover
LightGBM,0.17794668878053743,0.08250358070189745,0.28033761605005414,0.2943007858323461,0.5187413814855567,0.21542124111991046,-0.38298721274181724,0.47410358565737054,1.648491689744802
CNN+LSTM+TF,0.7487604559739245,0.31068083683810843,0.21606371356539467,1.4379130660645458,2.475961835742975,1.7023635700798245,-0.1824996976547968,0.5139442231075697,0.8724898731257532
SSM+TF,-0.24120607875239275,-0.12507203381331455,0.22308035587900538,-0.560659110124207,-0.9774782101905178,-0.3524702006332675,-0.3548442778669039,0.4641434262948207,1.6039561259150084
Cross-Attn,0.6598668157824283,0.2779959512919912,0.25756684604813435,1.079315740970944,1.9576543875029626,0.9931907682711422,-0.2799018679723551,0.5079681274900398,1.426337336365958
GAT+TF,0.1818528211246897,0.08423971040610034,0.19964870750957378,0.4219396732235834,0.644928561574728,0.35325626555664724,-0.23846628813039944,0.48406374501992033,1.041663812278539
EW Ensemble,-0.24120607875239275,-0.12507203381331455,0.22308035587900538,-0.560659110124207,-0.9774782101905178,-0.3524702006332675,-0.3548442778669039,0.4641434262948207,1.6039561259150084
MATD3 v2,0.6790713136680913,0.2851322189773009,0.2260756148523898,1.2612250072325162,2.33921573354536,1.1891201291918498,-0.2397842000800058,0.5199203187250996,1.3051096233163475
